// plcout 0
0x0120 - 0x012F:     "RR WHEEL SPEED"

// plcout 19
0x0130:     "UNABLE TO COMMUNICATE TO WC"
0x0131:     "WCC INTERNAL FAULT"
0x0132:     "WCC TO BROADCAST COMM FAULT"
0x0133:     "WCC FATAL FAULT"
0x0134:     "Open PLC 19.4"
0x0135:     "Open PLC 19.5"
0x0136:     "Open PLC 19.6"
0x0137:     "Open PLC 19.7"
0x0138:     "Open PLC 19.8"
0x0139:     "Open PLC 19.9"
0x013A:     "Open PLC 19.10"
0x013B:     "Open PLC 19.11"
0x013C:     "Open PLC 19.12"
0x013D:     "Open PLC 19.13"
0x013E:     "Open PLC 19.14"
0x013F:     "Open PLC 19.15"

// plcout 20
0x0140:     "INTER-ROLL PRES HIGH WARN"
0x0141:     "INTER-ROLL PRES HIGH S/D"
0x0142:     "Open PLC 20.2"
0x0143:     "Open PLC 20.3"
0x0144:     "Open PLC 20.4"
0x0145:     "Open PLC 20.5"
0x0146:     "Open PLC 20.6"
0x0147:     "Open PLC 20.7"
0x0148:     "UNABLE TO LOAD PARAM LIST"
0x0149:     "Open PLC 20.9"
0x014A:     "Open PLC 20.10"
0x014B:     "Open PLC 20.11"
0x014C:     "Open PLC 20.12"
0x014D:     "Open PLC 20.13"
0x014E:     "Open PLC 20.14"
0x014F:     "Open PLC 20.15"

// plcout 21
0x0150 - 0x015F:    "WB TRANSDUCER VALUE"


// **************** PLC FAULTS **************** */
// plcin 0
0x8000:     "REAR WHEEL DRIVE SIG (OFF=FWD)"
0x8001:     "POWER SENSE"
0x8002:     "START TEST"
0x8003:     "ABS TEST SELECTED"
0x8004:     "ROLLS DOWN"
0x8005:     "ALL WHEEL DRIVE SIGNAL"
0x8006:     "TRACTION CONTROL SELECTED"
0x8007:     "CRUISE CONTROL SELECTED"
0x8008:     "4 WHEEL DRIVE SIGNAL" 
0x8009:     "POSITRACTION TEST SIGNAL"
0x800A:     "MANUAL TRANSMISSION"
0x800B:     "AUTO TRANSMISSION"
0x800C:     "EATX TRANSMISSION"
0x800D:     "TILT STEERING WHEEL TEST"
0x800E:     "DRIVER PASS SIGNAL"
0x800F:     "DRIVER FAIL SIGNAL"

// plcin 1
0x8010:     "PARKING BRAKE TEST SELECT"
0x8011:     "PARKING BRAKE TEST PASSED"
0x8012:     "PARKING BRAKE TEST FAILED"
0x8013:     "CLEAR PUSHBUTTON"
0x8014:     "START SEQUENCE PUSHBUTTON"
0x8015:     "NEXT V.I.N. REQUEST"
0x8016:     "SPECIFIC V.I.N. REQUEST"
0x8017:     "COMPUTER MODE SELECTED"
0x8018:     "JOUNCE TEST COMPLETE"
0x8019:     "OP. PENDANT ON DRIVERS CONSOLE"
0x801A:     "VEHICLE PRESENT"
0x801B:     "LUCAS ABS SELECTED"
0x801C:     "DIFFERENTIAL LOCK TEST PB"
0x801D:     "BOSCH ABS SELECTED"
0x801E:     "WHEELBASE IN POSITION"
0x801F:     "CHECK +24 VOLT POWER SUPPLY"

// plcin 2
0x8020:	    	"FRONT RET. ROLLS RAISED FLT"
0x8021:		"REAR RET. ROLLS RAISED FLT"
0x8022:		"LEFT STOP POST RAISED FLT"
0x8023:		"RIGHT STOP POST RAISED FLT"
0x8024:		"FRONT RET. ROLLS LOWER FLT"
0x8025:		"REAR RET. ROLLS LOWERED FLT"
0x8026:		"LEFT STOP POST LOWERED FLT"
0x8027:		"RIGHT STOP POST LOWERED FLT"
0x8028:		"LUBE SYSTEM CYCLE SWTCH FLT"
0x8029:		"HYDRAULIC OIL LEVEL FAULT"
0x802A:		"HYDRAULIC OIL TEMP FAULT"
0x802B:		"60GPM HYD. OUTPUT FILTER"
0x802C:		"12GPM HYD. OUTPUT FILTER"
0x802D:		"HYD. INTAKE FILTER BLOCKED"
0x802E:		"WHEELBASE MOTOR DISC OPEN"
0x802F:		"HYDRAULIC MOTOR DISC OPEN"

// plcin 3
0x8030:		"WHEELBASE MOTOR DRIVE FAULT"
